Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 2 - 	 Ger: 22 - 	 Best:    0.02003 - 	 Mean:    0.02521 - 	 AQreal:   24.11684  	 
Exp: 2 - 	 Ger: 23 - 	 Best:    0.01787 - 	 Mean:    0.02460 - 	 AQreal:   24.11684  	 
Exp: 2 - 	 Ger: 24 - 	 Best:    0.01787 - 	 Mean:    0.02409 - 	 AQreal:   24.11684  	 
Exp: 2 - 	 Ger: 25 - 	 Best:    0.01787 - 	 Mean:    0.02376 - 	 AQreal:   17.69880  	 
Exp: 2 - 	 Ger: 26 - 	 Best:    0.01787 - 	 Mean:    0.02334 - 	 AQreal:   17.69880  	 
Exp: 2 - 	 Ger: 27 - 	 Best:    0.01336 - 	 Mean:    0.02228 - 	 AQreal:   17.69880  	 
Exp: 2 - 	 Ger: 28 - 	 Best:    0.01336 - 	 Mean:    0.02166 - 	 AQreal:   17.69880  	 
Exp: 2 - 	 Ger: 29 - 	 Best:    0.01336 - 	 Mean:    0.02109 - 	 AQreal:   17.69880  	 
Exp: 2 - 	 Ger: 30 - 	 Best:    0.01336 - 	 Mean:    0.02082 - 	 AQreal:   14.77810  	 
Exp: 2 - 	 Ger: 31 - 	 Best:    0.01336 - 	 Mean:    0.02062 - 	 AQreal:   14.77810  	 
Exp: 2 - 	 Ger: 32 - 	 Best:    0.01336 - 	 Mean:    0.02045 - 	 AQreal:   14.77810  	 
Exp: 2 - 	 Ger: 33 - 	 Best:    0.01336 - 	 Mean:    0.02007 - 	 AQreal:   14.77810  	 
Exp: 2 - 	 Ger: 34 - 	 Best:    0.01336 - 	 Mean:    0.01984 - 	 AQreal:   14.77810  	 
Exp: 2 - 	 Ger: 35 - 	 Best:    0.01336 - 	 Mean:    0.01972 - 	 AQreal:   17.81389  	 
Exp: 2 - 	 Ger: 36 - 	 Best:    0.01336 - 	 Mean:    0.01963 - 	 AQreal:   17.81389  	 
Exp: 2 - 	 Ger: 37 - 	 Best:    0.01336 - 	 Mean:    0.01963 - 	 AQreal:   17.81389  	 
Exp: 2 - 	 Ger: 38 - 	 Best:    0.01336 - 	 Mean:    0.01951 - 	 AQreal:   17.81389  	 
Exp: 2 - 	 Ger: 39 - 	 Best:    0.01336 - 	 Mean:    0.01949 - 	 AQreal:   17.81389  	 
Exp: 2 - 	 Ger: 40 - 	 Best:    0.01336 - 	 Mean:    0.01931 - 	 AQreal:   19.69119  	 
Exp: 2 - 	 Ger: 41 - 	 Best:    0.01336 - 	 Mean:    0.01915 - 	 AQreal:   19.69119  	 
Exp: 2 - 	 Ger: 42 - 	 Best:    0.01336 - 	 Mean:    0.01903 - 	 AQreal:   19.69119  	 
Exp: 2 - 	 Ger: 43 - 	 Best:    0.01336 - 	 Mean:    0.01888 - 	 AQreal:   19.69119  	 
Exp: 2 - 	 Ger: 44 - 	 Best:    0.01336 - 	 Mean:    0.01864 - 	 AQreal:   19.69119  	 
Exp: 2 - 	 Ger: 45 - 	 Best:    0.01336 - 	 Mean:    0.01855 - 	 AQreal:   20.02403  	 
Exp: 2 - 	 Ger: 46 - 	 Best:    0.01336 - 	 Mean:    0.01834 - 	 AQreal:   20.02403  	 
Exp: 2 - 	 Ger: 47 - 	 Best:    0.01336 - 	 Mean:    0.01834 - 	 AQreal:   20.02403  	 
Exp: 2 - 	 Ger: 48 - 	 Best:    0.01336 - 	 Mean:    0.01822 - 	 AQreal:   20.02403  	 
Exp: 2 - 	 Ger: 49 - 	 Best:    0.01336 - 	 Mean:    0.01822 - 	 AQreal:   20.02403  	 
Exp: 2 - 	 Ger: 50 - 	 Best:    0.01336 - 	 Mean:    0.01803 - 	 AQreal:   19.32151  	 
Exp: 3 - 	 Ger: 1 - 	 Best:   11.54748 - 	 Mean: 957550.55791 - 	 AQreal:   42.44832  	 
Exp: 3 - 	 Ger: 2 - 	 Best:   11.54748 - 	 Mean:  409.01691 - 	 AQreal:   42.44832  	 
Exp: 3 - 	 Ger: 3 - 	 Best:    6.01420 - 	 Mean:   29.76346 - 	 AQreal:   42.44832  	 
Exp: 3 - 	 Ger: 4 - 	 Best:    6.01420 - 	 Mean:   17.95345 - 	 AQreal:   42.44832  	 
Exp: 3 - 	 Ger: 5 - 	 Best:    5.02854 - 	 Mean:   11.96547 - 	 AQreal:   32.64933  	 
Exp: 3 - 	 Ger: 6 - 	 Best:    0.01352 - 	 Mean:    9.70294 - 	 AQreal:   32.64933  	 
Exp: 3 - 	 Ger: 7 - 	 Best:    0.01352 - 	 Mean:    8.22394 - 	 AQreal:   32.64933  	 
Exp: 3 - 	 Ger: 8 - 	 Best:    0.01352 - 	 Mean:    7.87744 - 	 AQreal:   32.64933  	 
Exp: 3 - 	 Ger: 9 - 	 Best:    0.01352 - 	 Mean:    7.26517 - 	 AQreal:   32.64933  	 
Exp: 3 - 	 Ger: 10 - 	 Best:    0.01352 - 	 Mean:    6.80989 - 	 AQreal:   30.73942  	 
Exp: 3 - 	 Ger: 11 - 	 Best:    0.01352 - 	 Mean:    6.49339 - 	 AQreal:   30.73942  	 
Exp: 3 - 	 Ger: 12 - 	 Best:    0.01352 - 	 Mean:    6.29072 - 	 AQreal:   30.73942  	 
Exp: 3 - 	 Ger: 13 - 	 Best:    0.01352 - 	 Mean:    5.93132 - 	 AQreal:   30.73942  	 
Exp: 3 - 	 Ger: 14 - 	 Best:    0.01352 - 	 Mean:    5.35947 - 	 AQreal:   30.73942  	 
Exp: 3 - 	 Ger: 15 - 	 Best:    0.01352 - 	 Mean:    5.31291 - 	 AQreal:   27.44677  	 
Exp: 3 - 	 Ger: 16 - 	 Best:    0.01352 - 	 Mean:    5.14911 - 	 AQreal:   27.44677  	 
Exp: 3 - 	 Ger: 17 - 	 Best:    0.01352 - 	 Mean:    4.94203 - 	 AQreal:   27.44677  	 
Exp: 3 - 	 Ger: 18 - 	 Best:    0.01352 - 	 Mean:    4.80546 - 	 AQreal:   27.44677  	 
Exp: 3 - 	 Ger: 19 - 	 Best:    0.01352 - 	 Mean:    4.80546 - 	 AQreal:   27.44677  	 
Exp: 3 - 	 Ger: 20 - 	 Best:    0.01352 - 	 Mean:    4.79131 - 	 AQreal:   25.04098  	 
Exp: 3 - 	 Ger: 21 - 	 Best:    0.01352 - 	 Mean:    4.68858 - 	 AQreal:   25.04098  	 
Exp: 3 - 	 Ger: 22 - 	 Best:    0.01352 - 	 Mean:    4.61141 - 	 AQreal:   25.04098  	 
Exp: 3 - 	 Ger: 23 - 	 Best:    0.01352 - 	 Mean:    4.61141 - 	 AQreal:   25.04098  	 
Exp: 3 - 	 Ger: 24 - 	 Best:    0.01352 - 	 Mean:    4.57732 - 	 AQreal:   25.04098  	 
Exp: 3 - 	 Ger: 25 - 	 Best:    0.01352 - 	 Mean:    4.56921 - 	 AQreal:   24.48428  	 
Exp: 3 - 	 Ger: 26 - 	 Best:    0.01352 - 	 Mean:    4.56921 - 	 AQreal:   24.48428  	 
Exp: 3 - 	 Ger: 27 - 	 Best:    0.01322 - 	 Mean:    4.34236 - 	 AQreal:   24.48428  	 
Exp: 3 - 	 Ger: 28 - 	 Best:    0.01322 - 	 Mean:    4.17582 - 	 AQreal:   24.48428  	 
Exp: 3 - 	 Ger: 29 - 	 Best:    0.01322 - 	 Mean:    4.17269 - 	 AQreal:   24.48428  	 
Exp: 3 - 	 Ger: 30 - 	 Best:    0.01322 - 	 Mean:    4.17269 - 	 AQreal:   20.93137  	 
Exp: 3 - 	 Ger: 31 - 	 Best:    0.01322 - 	 Mean:    4.17269 - 	 AQreal:   20.93137  	 
Exp: 3 - 	 Ger: 32 - 	 Best:    0.01322 - 	 Mean:    3.84370 - 	 AQreal:   20.93137  	 
Exp: 3 - 	 Ger: 33 - 	 Best:    0.01322 - 	 Mean:    3.72871 - 	 AQreal:   20.93137  	 
Exp: 3 - 	 Ger: 34 - 	 Best:    0.01322 - 	 Mean:    3.72871 - 	 AQreal:   20.93137  	 
Exp: 3 - 	 Ger: 35 - 	 Best:    0.01322 - 	 Mean:    3.72871 - 	 AQreal:   20.29047  	 
Exp: 3 - 	 Ger: 36 - 	 Best:    0.01322 - 	 Mean:    3.71110 - 	 AQreal:   20.29047  	 
Exp: 3 - 	 Ger: 37 - 	 Best:    0.01322 - 	 Mean:    3.71110 - 	 AQreal:   20.29047  	 
Exp: 3 - 	 Ger: 38 - 	 Best:    0.01322 - 	 Mean:    3.56645 - 	 AQreal:   20.29047  	 
