Exp: 1 - 	 Ger: 50 - 	 Best:    0.12949 - 	 Mean:    0.13066 - 	 AQreal:    0.05348  	 
Exp: 1 - 	 Ger: 51 - 	 Best:    0.12949 - 	 Mean:    0.13041 - 	 AQreal:    0.05348  	 
Exp: 1 - 	 Ger: 52 - 	 Best:    0.12928 - 	 Mean:    0.13024 - 	 AQreal:    0.05348  	 
Exp: 1 - 	 Ger: 53 - 	 Best:    0.12928 - 	 Mean:    0.13013 - 	 AQreal:    0.05348  	 
Exp: 1 - 	 Ger: 54 - 	 Best:    0.12928 - 	 Mean:    0.13004 - 	 AQreal:    0.05348  	 
Exp: 1 - 	 Ger: 55 - 	 Best:    0.12920 - 	 Mean:    0.12985 - 	 AQreal:    0.05084  	 
Exp: 1 - 	 Ger: 56 - 	 Best:    0.12822 - 	 Mean:    0.12966 - 	 AQreal:    0.05084  	 
Exp: 1 - 	 Ger: 57 - 	 Best:    0.12819 - 	 Mean:    0.12949 - 	 AQreal:    0.05084  	 
Exp: 1 - 	 Ger: 58 - 	 Best:    0.12819 - 	 Mean:    0.12925 - 	 AQreal:    0.05084  	 
Exp: 1 - 	 Ger: 59 - 	 Best:    0.12819 - 	 Mean:    0.12906 - 	 AQreal:    0.05084  	 
Exp: 1 - 	 Ger: 60 - 	 Best:    0.12819 - 	 Mean:    0.12888 - 	 AQreal:    0.04760  	 
Exp: 1 - 	 Ger: 61 - 	 Best:    0.12819 - 	 Mean:    0.12879 - 	 AQreal:    0.04760  	 
Exp: 1 - 	 Ger: 62 - 	 Best:    0.12782 - 	 Mean:    0.12862 - 	 AQreal:    0.04760  	 
Exp: 1 - 	 Ger: 63 - 	 Best:    0.12782 - 	 Mean:    0.12853 - 	 AQreal:    0.04760  	 
Exp: 1 - 	 Ger: 64 - 	 Best:    0.12782 - 	 Mean:    0.12844 - 	 AQreal:    0.04760  	 
Exp: 1 - 	 Ger: 65 - 	 Best:    0.12774 - 	 Mean:    0.12830 - 	 AQreal:    0.04616  	 
Exp: 1 - 	 Ger: 66 - 	 Best:    0.12774 - 	 Mean:    0.12825 - 	 AQreal:    0.04616  	 
Exp: 1 - 	 Ger: 67 - 	 Best:    0.12748 - 	 Mean:    0.12816 - 	 AQreal:    0.04616  	 
Exp: 1 - 	 Ger: 68 - 	 Best:    0.12748 - 	 Mean:    0.12809 - 	 AQreal:    0.04616  	 
Exp: 1 - 	 Ger: 69 - 	 Best:    0.12743 - 	 Mean:    0.12800 - 	 AQreal:    0.04616  	 
Exp: 1 - 	 Ger: 70 - 	 Best:    0.12743 - 	 Mean:    0.12793 - 	 AQreal:    0.03756  	 
Exp: 1 - 	 Ger: 71 - 	 Best:    0.12740 - 	 Mean:    0.12781 - 	 AQreal:    0.03756  	 
Exp: 1 - 	 Ger: 72 - 	 Best:    0.12720 - 	 Mean:    0.12773 - 	 AQreal:    0.03756  	 
Exp: 1 - 	 Ger: 73 - 	 Best:    0.12720 - 	 Mean:    0.12769 - 	 AQreal:    0.03756  	 
Exp: 1 - 	 Ger: 74 - 	 Best:    0.12720 - 	 Mean:    0.12766 - 	 AQreal:    0.03756  	 
Exp: 1 - 	 Ger: 75 - 	 Best:    0.12720 - 	 Mean:    0.12757 - 	 AQreal:    0.03593  	 
Exp: 1 - 	 Ger: 76 - 	 Best:    0.12720 - 	 Mean:    0.12753 - 	 AQreal:    0.03593  	 
