Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 1 - 	 Ger: 90 - 	 Best:    0.11224 - 	 Mean:    0.11403 - 	 AQreal:    3.11306  	 
Exp: 1 - 	 Ger: 91 - 	 Best:    0.11224 - 	 Mean:    0.11403 - 	 AQreal:    3.11306  	 
Exp: 1 - 	 Ger: 92 - 	 Best:    0.11224 - 	 Mean:    0.11403 - 	 AQreal:    3.11306  	 
Exp: 1 - 	 Ger: 93 - 	 Best:    0.11224 - 	 Mean:    0.11398 - 	 AQreal:    3.11306  	 
Exp: 1 - 	 Ger: 94 - 	 Best:    0.10999 - 	 Mean:    0.11381 - 	 AQreal:    3.11306  	 
Exp: 1 - 	 Ger: 95 - 	 Best:    0.10999 - 	 Mean:    0.11363 - 	 AQreal:    3.19409  	 
Exp: 1 - 	 Ger: 96 - 	 Best:    0.10999 - 	 Mean:    0.11363 - 	 AQreal:    3.19409  	 
Exp: 1 - 	 Ger: 97 - 	 Best:    0.10999 - 	 Mean:    0.11363 - 	 AQreal:    3.19409  	 
Exp: 1 - 	 Ger: 98 - 	 Best:    0.10999 - 	 Mean:    0.11357 - 	 AQreal:    3.19409  	 
Exp: 1 - 	 Ger: 99 - 	 Best:    0.10999 - 	 Mean:    0.11351 - 	 AQreal:    3.19409  	 
Exp: 1 - 	 Ger: 100 - 	 Best:    0.10999 - 	 Mean:    0.11344 - 	 AQreal:    3.72429  	 
Exp: 1 - 	 Ger: 1 - 	 Best:    0.10245 - 	 Mean:    0.12150 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.10189 - 	 Mean:    0.11189 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.09665 - 	 Mean:    0.10901 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.09665 - 	 Mean:    0.10775 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.09665 - 	 Mean:    0.10613 - 	 AQreal:    0.83078  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.09665 - 	 Mean:    0.10482 - 	 AQreal:    0.83078  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.09622 - 	 Mean:    0.10355 - 	 AQreal:    0.83078  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.09622 - 	 Mean:    0.10318 - 	 AQreal:    0.83078  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.09622 - 	 Mean:    0.10261 - 	 AQreal:    0.83078  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.09622 - 	 Mean:    0.10217 - 	 AQreal:    0.75215  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.09618 - 	 Mean:    0.10147 - 	 AQreal:    0.75215  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.09618 - 	 Mean:    0.10055 - 	 AQreal:    0.75215  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.09618 - 	 Mean:    0.10008 - 	 AQreal:    0.75215  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.09618 - 	 Mean:    0.09953 - 	 AQreal:    0.75215  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.09431 - 	 Mean:    0.09897 - 	 AQreal:    0.66601  	 
